blockchain,project,version,block_number,block_time,tx_hash,evt_index,transaction_type,token_address,borrower,amount
bnb,radiant,1,35502339,2024-01-23 17:56:39.000 UTC,0x87e73bb1bb5936ab1782a4e2c4e0f3e38898af36bae3c92a71aeaa3cee9e20a4,544,borrow,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x1abfa3d823f9f8d85af33622046d3b7f66262670,3.5e+15
bnb,radiant,1,35502293,2024-01-23 17:54:17.000 UTC,0x5235c5ea31065e768736ff7c26817da2d28d04140c918449c364cf971205f9cd,222,repay,0x55d398326f99059ff775485246999027b3197955,0x1abfa3d823f9f8d85af33622046d3b7f66262670,-1.568434966284111e+20
