blockchain,project,version,block_number,block_time,tx_hash,evt_index,transaction_type,token_address,borrower,amount
base,moonwell,1,10007817,2024-02-01 16:29:41.000 UTC,0xb9a75aef70eb52cb083f1976267dd3f0bca120931c29ce7a1228f05cb5cbcbfb,23,borrow,0x4200000000000000000000000000000000000006,0x3ab6732d99f19b44106f1abc48e58127104cfd96,1.3870798198675358e+19
base,moonwell,1,9627694,2024-01-23 21:18:55.000 UTC,0xa552f59781c2c517153384f2da0105c190b0de7e0debaeb7ee8245e02f06b344,22,borrow_liquidation,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x5c69210baac71307eaef0e5b4a68222d4193b7f5,-3.749251016769874e+20
base,moonwell,1,10008050,2024-02-01 16:37:27.000 UTC,0xe9c759b5ac8ed0e10985ffa65d463162796171fd1a5957ddf988bb5f21077332,14,repay,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x8ecb5691f4f69dbcaa336b13a4b3f7ac95d7ec1d,-3.39623596e+08
