blockchain,project,version,block_number,block_time,tx_hash,evt_index,token_address,recipient,amount
ethereum,spark,1,19078027,2024-01-24 17:36:35.000 UTC,0x97245f7424a29641695c5b49e7117b3c65720265ac855b921b0095991d401ed6,278,0x6b175474e89094c44da98b954eedeac495271d0f,0x619ad2d02dbee6eba3cdbda3f98430410e892882,1.349508e+24
ethereum,spark,1,19076185,2024-01-24 11:25:47.000 UTC,0xf4b7b6ad68c617bf6cee2f12ccaab1b7410884b6b951411056947ffda9df39bd,120,0x6b175474e89094c44da98b954eedeac495271d0f,0x00c96432da3ffa1a427c57c9861f919680253088,1e+22
ethereum,spark,1,19072785,2024-01-23 23:59:35.000 UTC,0x55e6b7c50e17352179ac90fa4ef9d3f109d78591979b48d3af43e75e9971fbdc,101,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x619ad2d02dbee6eba3cdbda3f98430410e892882,1.4118280398676406e+21
