blockchain,project,version,block_number,block_time,tx_hash,evt_index,transaction_type,token_address,borrower,amount
gnosis,realt_rmm,1,32387795,2024-02-10 20:45:20.000 UTC,0xf0281c570b28171cf2d9761a610f615ab156a44091b0f321953a15a609c2e601,3141,borrow,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0x80dc050a8c923c0051d438026f1192d53033728c,1e+21
gnosis,realt_rmm,1,32348359,2024-02-08 11:14:45.000 UTC,0x5e2c1d3048abb5e209dbf96ea6fda8caab47b7ebe9400e4bdb6674561bb05a65,9,borrow_liquidation,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0x9e48c1cdd88b1ef6fb295efbdd1654c3bae68759,-1.227348681670216e+19
gnosis,realt_rmm,1,32806206,2024-03-07 06:53:40.000 UTC,0x68302985a2de3329450139416e71e8ad14cd3bb051a96744565b8cafd61f4a63,7,repay,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0xa7823b235af28891d533ff39d5575f17e92fb065,-8.4e+19
gnosis,realt_rmm,2,32809198,2024-03-07 11:11:20.000 UTC,0x774bbfc206b1f6d84ea13e6016516d6fe51a7efec5d67c6f451878029ebecbc3,2522,borrow,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0x2a36c23f113053e08bbdf4a6db30fc37fe0b1068,2.7672923012985017e+21
gnosis,realt_rmm,2,32808875,2024-03-07 10:43:20.000 UTC,0xcb8fafeefbaf920697b96362a0a7e5c37f5557f7a26533fc504b13039d876f26,2005,repay,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0xf0633940d64515379bbe743515fc14c13834d393,-1e+17
