block_number,tx_hash,evt_index,nft_contract_address,token_id,buyer,seller,amount_original,platform_fee_amount,royalty_fee_amount
73841382,0xca484e3f73baa6f5d034f990b88f1bd74094d604c9a1bd8b02932a7119d5eac0,0,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,1663029,0x8a2d2a4c1b05455b8f340a6bb98b0c08513a8555,0xcec6c84af91405379818d159ee6121c9d927ba85,0.0005,1.25e-05,0
74202562,0x12b559e9d34f8b6c6a2078f2b8f090e03b1aef18cd29d5746b1feaf6fdb26cba,0,0xc7a144c247dd503acf87b2dc65aff3de3c10e3d1,1363,0xb6c3e1cddbcdc2e1758a7cc677749d3c6c811f8a,0x6fb57d194bd89cf54ada268f87ba7b0c73548dc5,0.006,0.00015,0
74069202,0x728307b55f2157f5e11dc5fe12bf7e2c9a234cefa2669864d4b0c1603d8744c6,0,0x656b02f01500e0d7c072330e324f3e026df91f55,5400,0xc8feee4b352c46b15ed12492df669911d8496e51,0x83c3096351afea52d43a5de1c718cc6c967487fb,0.00589,0.00014725,0.0002945
74078258,0xcdd99aa98335a514411f183ef23e0beedf0692a7685066bbc643060aff328599,0,0x9b9f542456ad12796ccb8eb6644f29e3314e68e1,1475,0x124474fdbecddef33732e84c4834faee38ef0c44,0x76f980cfe17d4ff3e3f9ddce2129c17e55a1091d,0.035,0.000875,0.00175
74048380,0x6b136a9a6c1869df3cfa212404c5ae55ee3efeeb45b0003803047d706c6da939,0,0x812053625db6b8fbd282f8e269413a6dd59724c9,572,0xa277ba906e5bcb2176dc183e982637c38c7ecf27,0x477e665ea49d49ebe1cb27b668e977225563d9f7,0.0018,4.5e-05,0.00018
74104224,0xe956335095bdf20ccd15fe736992ec22d385cfbd3d96caeb61de3fda0209ad44,0,0x0d21136236c0731378286be2ea3611a19280dd56,1273,0x4a550e6eaf8ba34305cbc0d7cfcb1d0e4865f274,0x5fac5a1a1d8343705a605561d925bab7642a1957,1.01,0.02525,0
74004501,0x6fb1f8abc50cfb37d62ddb11551e01d0ea55aa8226b154e47187d19977cc5194,0,0x812053625db6b8fbd282f8e269413a6dd59724c9,7762,0xade9f040f13c454453e9cf65c99e8195e840e1f5,0x9b5ee10beea46180be7560cbe7aef8f88a3221fb,0.0012,3e-05,0.00012
73499763,0xca20ef8970fec9f812eee8f3a04f3d4f61739c132769e56d7a9936f5843705aa,0,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,2709460,0x5f690790e3bea9b2deaffbc569a8e35004508029,0x618954bb75e6254b38909d3d4ba0ce1a8d320c07,0.001,2.5e-05,0
74744387,0x896fc8e400878758dc8e05c55e048b2816f02f52a06a795c715fea7a5260cc96,0,0xb91b2276bd5a98994bf1f496e3886f688f8d4581,2035,0x2ba1d521595c5b31b177fd5263f8b002f570e92a,0xdc065fb9bd6d5d6651e257e5799bd38eaf005fc6,0.002,5e-05,0
74623436,0x888545a097b22604e3c9834ecaaa3ef8868855c1461c603c90c8825966f3a692,0,0x67709f880f66e15f6ae93b1d737f8d8d9fb9827f,770,0x9d3714cceff1e57d9653158c877def1e74bd6f20,0xc1d7ffb0aa7325c8413fbc7351630ef3580fffb1,0.36,0.009,0.018
74678149,0x09d4e6192f12a0f976bb752e3394b8459bea659087b60bd1a2ee35573b68ce7a,0,0x656b02f01500e0d7c072330e324f3e026df91f55,4183,0xc596cb23208bb80450f3a25cd7efddd111437158,0xcfa1bf8ca39a89b6c0e9aff55454b20e589c0da0,0.0065,0.0001625,0.000325
74627003,0x177ecf46aa55791070bd5bb53fca4d6ad5a7f5747d176a4d01389bf6674cc3a7,0,0xc66a1ee3be858e7041dda9bd1ea2fbd3ce07f63e,19146,0x77422fd76a39d216619f5ae2596bb5b12e8e3b0e,0x06e252cdb6bf0e724346be59ceadf6684c79793c,0.0006,1.5e-05,0
74402579,0x8f8c3b9fcfcaa0bd9b8363ef36b759cabb9c346baa14a407258a2e37c24d2f79,0,0xc480325c86392b773cbad885759c205f26d91bbb,2435,0x1062cbf8ff53f78c76e3df908469d8c4c7d69196,0xfc5fb8d52017ddb7a803ec20d299fcc94ca9eaa0,0.35,0.00875,0
74504570,0xd8f1626f6199e646878f74c7e5b94bcd1fdb03a7dc3156a8c880770a1edfee4c,0,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,449323,0x3c7f96edf54d6567d91be151e40423a7ba86e8ad,0x55daee2be43171c46fa6edd682d6beec02b6e03d,0.00079,1.975e-05,0
74914578,0x770ea847974390cc9facdfb7266144249ee5bc4fd836b7c5107013a93aecbbf2,0,0x662146c0e1126488662c0afbb53a0cdbfa1bde4a,6968,0xf37a1e05106bd964e5095b328d6ac5629a1f6b54,0xc3ee19826f13b3509c8fedcc5576552c36dd74bc,0.005,0.000125,0
74910954,0x5f4e00d41fe1cdf37eae03927d235f45c391b30c357aa5d2ccaf6d0ecd8de36f,0,0x20bdae1413659f47416f769a4b27044946bc9923,3095,0x42eabe5e25cc092eae837961be75bd5dfe182969,0xcb44b8eaf868d0600e2dbdc5f0c5ea733a40476e,0.005,0.000125,0
74898193,0x357875c21328188c5e7900518cd561bbda6e414fddb237f8911216836c0abd63,0,0xab586a06b98df0a86dcd4e1a0294a404c6284725,3314,0x3d81fa04b30c7ac4571274e17891fbb9be8a5bf3,0x1111615a735ac3b3bf3a9ac75b673509500ac8e8,0.11,0.00275,0
