evt_tx_hash,evt_block_time,borrower,lender,collectionContract,tokenId,apr,duration,source,eth,usd,status,currency,principal_raw,collectionName
0x7c7675a6613ddaded0b187314c2edd3ad3c5428a7a14e92830b74e03fcaf7210,2020-05-15T22:06:24Z,0xc35a5fec6be6957899e15559be252db882220b37,0x44ddf3e35cd2d629d78674ff6bf5b953e2b069fe,0xf3e778f839934fc819cfa1040aabacecba01e049,1873,869.0476190476192,7,NFTFi,0.03,5.825099999999999,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0x937a5320404c0c835f2739c84b229ef837a9f0b0ef92cbbf4a232b5b357bfc33,2020-05-16T10:05:07Z,0xc35a5fec6be6957899e15559be252db882220b37,0x44ddf3e35cd2d629d78674ff6bf5b953e2b069fe,0xf3e778f839934fc819cfa1040aabacecba01e049,1881,173.80952380952382,7,NFTFi,0.003,0.58998,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000000000000000,Avastars
0xf331e9fb8341f1b644e0edfe599a56402836808b2570578e839261f7c592d2dc,2020-05-16T11:30:55Z,0x44ddf3e35cd2d629d78674ff6bf5b953e2b069fe,0xc35a5fec6be6957899e15559be252db882220b37,0xfbeef911dc5821886e1dda71586d90ed28174b7d,40507,17.380952380952383,7,NFTFi,0.03,5.9199,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Known Origin
0x330e8f56d4f6eb07392d8c23858eda1cada42c550ed98e4e2bd5bc80ca1be1ff,2020-05-16T12:25:35Z,0xc35a5fec6be6957899e15559be252db882220b37,0x44ddf3e35cd2d629d78674ff6bf5b953e2b069fe,0xf3e778f839934fc819cfa1040aabacecba01e049,1881,17.38095238095238,7,NFTFi,0.003,0.59325,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000000000000000,Avastars
0x9bd7a9da5505b3d42152dd5f971378daeb6a0e74a0ef213b877e27764a06d128,2020-05-16T12:52:02Z,0xc35a5fec6be6957899e15559be252db882220b37,0x44ddf3e35cd2d629d78674ff6bf5b953e2b069fe,0xf3e778f839934fc819cfa1040aabacecba01e049,2335,1303.5714285714287,7,NFTFi,0.2,39.552,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,200000000000000000,Avastars
0x9d15b0eebd1be43b5f5c9a238bdbde91991c1653d7cffd687b96d1d70b9b461b,2020-05-16T14:37:59Z,0xc35a5fec6be6957899e15559be252db882220b37,0x137d9174d3bd00f2153dcc0fe7af712d3876a71e,0xf3e778f839934fc819cfa1040aabacecba01e049,1881,521.4285714285714,7,NFTFi,0.05,9.891,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,50000000000000000,Avastars
0x08fc358e23d031ae428aceb12a7e77ed0d4a58b0b48c9c4b1d5584b38f2ea6a4,2020-05-16T14:56:15Z,0xc35a5fec6be6957899e15559be252db882220b37,0x137d9174d3bd00f2153dcc0fe7af712d3876a71e,0xf3e778f839934fc819cfa1040aabacecba01e049,2335,521.4285714285714,7,NFTFi,0.05,9.8415,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,50000000000000000,Avastars
0xb8cb3970e1ea0d7c08880deec04e7983f5e117806eca92d78a1c22adf0fffcb0,2020-05-16T15:07:58Z,0xc35a5fec6be6957899e15559be252db882220b37,0xe09b8a054dfcda9c6a5f90d85066d9b6d1bd8025,0x9255ed258dcbafe165dccd93ea0a72f4ed88e24d,2159,2607.1428571428573,7,NFTFi,0.001,0.19695000000000001,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1000000000000000,CryptoMorphMint
0x9e3fbf41be25d18753e192862d35bf8a99035cf3b63be12845123fd170d1f01a,2020-05-16T15:08:57Z,0xc35a5fec6be6957899e15559be252db882220b37,0xe09b8a054dfcda9c6a5f90d85066d9b6d1bd8025,0x9255ed258dcbafe165dccd93ea0a72f4ed88e24d,2158,101.38888888888889,180,NFTFi,0.001,0.19695000000000001,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1000000000000000,CryptoMorphMint
0xd68e7b566e332c3930969f85cb0be9ee3a8ee732356fd5281239391a3f96830b,2020-05-16T15:40:48Z,0xe09b8a054dfcda9c6a5f90d85066d9b6d1bd8025,0xc35a5fec6be6957899e15559be252db882220b37,0x60f3680350f65beb2752788cb48abfce84a4759e,334,4.055555555555555,30,NFTFi,0.03,5.9361,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Colorglyphs
