contract_address,symbol,decimal
0x1891A76d191d5A24bcd06DeA4ACadF4b8aE4b583,rf-soUSDC,18
0x2B2CE9Ea2a8428CE4c4Dcd0c19a931968D2F1e7b,rf-vAMM-OP-USDC,18
