tx_hash,maker_token_address,taker_token_amount,taker_token_address
0x97e4ca5ee0c03022f263ed0327502940c62c33ea645cdee4a7b9538eb181d1c4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.35E+22,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x98adee4597d044743a06106f987e520c72e5dfd9f671313184b4a49358b63694,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,1571613471034361600,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
0x98adee4597d044743a06106f987e520c72e5dfd9f671313184b4a49358b63694,0xd533a949740bb3306d119cc777fa900ba034cd52,1192787349706279000,0xd533a949740bb3306d119cc777fa900ba034cd52
0x995c42cd429d4167b2ef2bfdfb4838d7df34b50eda2cf2b72261e6f8b6ee088b,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,11405930206671245000,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
0x995c42cd429d4167b2ef2bfdfb4838d7df34b50eda2cf2b72261e6f8b6ee088b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,27057258441,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
