blockchain,project,version,block_date,tx_hash,evt_index,sub_idx,nft_contract_address,token_id,buyer,seller,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
ethereum,opensea,v4,2023-03-06,0x8078c8c442e2513e924188c2dcbf7e8a5b9e57eb41641a9466d9a7de7279b13e,297,1,0xd32abb10c0a8fb6147152542088e0fce4aeb7f4f,7352,0x9c2da765c7389d36dfb418f0381090685b5692e8,0x2b39fed6cc2bad303afb4be17405b8a7bbefc128,10900000000000000,,817500000000000
ethereum,opensea,v4,2023-03-06,0x3e8a1db5f2013453d9ad0f83c331f9400a0976f04dfad58cd17481afeaa5659a,229,1,0x0be697ce3f41508510ccf502c55c37990274f05e,836,0xc0c27d29ac68df3675ed3e5e24acc571e0dcc710,0x222a38410f47cb9741845eec4df7526f62d0e377,52010000000000000,,2600500000000000
ethereum,opensea,v4,2023-03-06,0x598d86e99446aad58fdb06ee1ff8061b780e60eff1807fcbc781eff9c81041e2,96,1,0x0be697ce3f41508510ccf502c55c37990274f05e,1124,0xb45ec3d9fab5b77b2da5fba343c513f548af6ca9,0x9fe98adff9c37deb4433201203cb0852b8e49193,62900000000000000,,3145000000000000
ethereum,opensea,v4,2023-03-06,0xfffcb51972d15d1e68e29a763d8e5810bda74d209e5c27cea456152e54caad42,3,1,0x34ba8992fbbec87fc9959ec4a360df3a8f957ccc,6193,0x71fe8f38d4ba5973def012752e13140414e335eb,0x2b3ccb55a404c0e99add7e3041f76883e22e5e72,33000000000000000,165000000000000,165000000000000
ethereum,opensea,v4,2023-03-22,0x761b5a640281d26e9043ae9981f326e1f79fb2f9660c0592ea9c7fee3f93d03f,140,1,0x3acce66cd37518a6d77d9ea3039e00b3a2955460,5170,0xb59614452e749b9ceb3659b5195d2aa87a368dc3,0x1b7665c81b213d21c58446ec455f10b57834ed74,240000000000000000,,1200000000000000
ethereum,opensea,v4,2023-03-22,0x497dcf45b2a3de4b34b9116829e18a0372159eaf35b036640b08dfc20295d2a0,247,1,0x3acce66cd37518a6d77d9ea3039e00b3a2955460,3260,0xee21068efaf8e59eb28fec33cd97d1401e9ea177,0xa1658a3f0e08bb5c0ba758e4704788172f78df24,220410000000000000,,11020500000000000
ethereum,opensea,v4,2023-03-03,0xff66a1ff50cae31934cb41c31f08637d296f372e1cd104a551cd614556bd73c7,149,1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,25096,0x5603d121834371c219a12bca6c1f8afdcde40e97,0x4dac5aecc9b076432a7d575995b742d6cedbdbbc,54400000000000000,,1360000000000000
ethereum,opensea,v4,2023-03-03,0xff66a1ff50cae31934cb41c31f08637d296f372e1cd104a551cd614556bd73c7,150,1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,19536,0x5603d121834371c219a12bca6c1f8afdcde40e97,0xacd29609f1df530c41ba9fdd897f7352e6798dba,53900000000000000,,1347500000000000
ethereum,opensea,v4,2023-03-03,0xff66a1ff50cae31934cb41c31f08637d296f372e1cd104a551cd614556bd73c7,146,1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,27234,0x5603d121834371c219a12bca6c1f8afdcde40e97,0x4dac5aecc9b076432a7d575995b742d6cedbdbbc,54400000000000000,,1360000000000000
ethereum,opensea,v4,2023-03-03,0xff66a1ff50cae31934cb41c31f08637d296f372e1cd104a551cd614556bd73c7,148,1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,25656,0x5603d121834371c219a12bca6c1f8afdcde40e97,0x22fdc055dc1878c77064b7e0274a885cf5fe672d,54000000000000000,,1350000000000000
ethereum,opensea,v4,2023-03-03,0xff66a1ff50cae31934cb41c31f08637d296f372e1cd104a551cd614556bd73c7,147,1,0xbd8451d2d5fb88469a764b05c1e0b623c5106145,25289,0x5603d121834371c219a12bca6c1f8afdcde40e97,0x4dac5aecc9b076432a7d575995b742d6cedbdbbc,54400000000000000,,1360000000000000
polygon,opensea,v4,2023-03-17,0x359c2cad36c7655aead7b6a82abb4b350f16c97d069da0b6caf8646f7a74ac97,4,1,0x3aa456d7b6b4bb6c13363c81e06240c1897da270,191032,0x9931ef91ea7ce55d584786044b7b47ffe66a9098,0xdb874494722b6ad8aa553b9049c0b490484c688d,1000000000000000000,5000000000000000,
polygon,opensea,v4,2023-03-17,0x9675110993fa6c3c92bc9100ad681afb964c7989b0dea3b45975d5a7ef376031,229,1,0x3aa456d7b6b4bb6c13363c81e06240c1897da270,77041,0xbf90248aa584f0f3524ce9c0d29f0423f3c1f9d4,0x4eaadd50e0492f93a1b41f8a492af5aaa25fecc9,3000000000000000000,15000000000000000,
polygon,opensea,v4,2023-03-17,0xd2ab88bd1e5ed0adddf161de4b22e6194f956b444b20cd97fa653429f5b28d4a,139,1,0xc8d3a3a83bde5dad06d436694e3e22ac3e64d577,928194,0x406115a0b6aae5d052601ea91256dc5c4121e311,0xd0382d975a7ccf3206cfb42771417e1371b162a3,7500000000000000,37500000000000,375000000000000
polygon,opensea,v4,2023-03-17,0x1405f7b6652a62d948e565ebe1ad564b84c949bd2b688de6e26a6c5ab91a82d8,159,1,0xb581cc7a3211674d6484a11c8663b9011b600eee,0,0xeb428fa0ff5a3a097fabaff0709b932ffd0b0936,0x6cfb5f69c48f3211aecd4c6236842c35307cb111,14999999000000000,,749999950000000
polygon,opensea,v4,2023-03-17,0x4b548fd1d21f4135c49e4a98be9ee3b90a0c6dbab788352a3416aaf8e6dffdc2,247,1,0x9d305a42a3975ee4c1c57555bed5919889dce63f,6258,0x49658c334d2d2c43638797ca09ab60ddbcf6ec8c,0x86de2b6e55ddb8b3a6caaffb307fadb63cdcf4f9,690000000000000000,,3450000000000000
polygon,opensea,v4,2023-03-17,0xf2eb09440a75b52c2ee092c7429a2802d5beed3c94109843e3b7966d0fd94b1d,193,1,0x8634666ba15ada4bbc83b9dbf285f73d9e46e4c2,30954,0x547f6b586bed31883e0641de018ffeb6f9ed4bb7,0x4eeddad4153517407d906e97c319efc155e0fc21,8700000000000000,,87000000000000
polygon,opensea,v4,2023-03-17,0x67bf46fcf3605a1175ad22c794ca9e8d9d0e2b330e80444d24e6a468dbd6a462,132,1,0x57a9b65ceac6c5ee0cec8cd4571a7c3805b558d8,4,0xc1f1d9c9322cddd420390113248792cf37630180,0xd6c46293b04b39c6c4d5f418ca72d5962f1fedcb,70000000000000,350000000000,7000000000000
polygon,opensea,v4,2023-03-17,0xfbe1f276ff612a7a3918a2258d50d4326433a7ecf72f291f780ec5ef3dcbabf0,400,1,0x461aeb735b06295dbb85cd4f15578f0252b240cd,3688,0xb415f808d6821524a6ccd6afa92a59482d0e8955,0x045cc8b7c96d5c1825200891e0d07fba48ea5a34,3489432872000000,17447164360000,174471643600000
polygon,opensea,v4,2023-03-17,0x0a7c0dec6d8943ac37655716a34a0cc3c7a53fca37b252ff5a48f7055d6eb08b,13,1,0x99a558bdbde247c2b2716f0d4cfb0e246dfb697d,110,0x8662967884d317cafac40288cdc37bb1494570e1,0xc1aa696e7ee1a06f1c9a22c657e5e6586d3c4db5,4910000000000000,,122750000000000
polygon,opensea,v4,2023-03-17,0xc9d94c98c986356b2b8339691e39adf6c94ff7756ff14cf61eefd12e99a581c6,257,1,0x461aeb735b06295dbb85cd4f15578f0252b240cd,3960,0x4f960d763e2d153299f310432fd8e16f75cc9bca,0xe72f92bab38b9bb62714ffeb50d9aae18a21e1de,4126306955000000,20631534775000,206315347750000
polygon,opensea,v4,2023-03-17,0xab52e57e7210031569b9b7085fdad9c6d9377c9518b63dc0c052cd6f0de48db2,249,1,0x24a11e702cd90f034ea44faf1e180c0c654ac5d9,8432,0xb8e8f66088deb559116d0b9cc0d03cc53d8eda44,0x37b45293aaf561a2cdf9e260bf984b643dd3699a,419000000000000000,,41900000000000000
polygon,opensea,v3,2022-09-22,0x1bf58b0eaef3e3ff158fd40b1258ca3375e46e86a4ba40b39aa4a285d296e6de,231,1,0x2b4a66557a79263275826ad31a4cddc2789334bd,76504,0x02c5e05886a9be0ebfd3cb9e19652c0723faea5b,0x8152fff80c08adda55b524d3c287275f1c9bd671,3000000000000000000,75000000000000000,300000000000000000
polygon,opensea,v3,2022-09-22,0xf7ddb9a8b972e56f9bffa223ba3c266387536e5cf7c6b6d20fea647ee409adbd,176,1,0xf021bf78b90f17a7b0dd2a071be5aaf5222c721b,1,0xdbecbe669c8d2e397d0f82570180934bb1834052,0x34df86fcb776811984a26ca0e21e8f5ab78efe3b,14000000000000000,350000000000000,
polygon,opensea,v3,2022-09-22,0x9ce4b5e4765b1fd32af0a34296adf95ae522a30e9cbfc0db84d18c4af11e6af1,327,1,0xcbc964dd716f07b4965b4526e30541a66f414ccf,12001,0xdaa914dd16cbb6fefcce34dff7e9a88f8531744a,0x0790523ee7ee48010f19f8a6707555fd92c8eb39,74999900000000000,1874997500000000,3749995000000000
polygon,opensea,v3,2022-09-22,0xc7beca9b987ae3beb12031f53343e3afb7f449a8b8b3e5b30e7086b566637e96,298,1,0xc7a096b4c6610ba3a836070333ff7922b9866a36,10000000012871,0xa1ac9882c1f2fa810eebad1adee4b71ee2454a19,0x9f21551c17007216e7ede249a0d0b56bafada70b,25000000000000000,625000000000000,
